69,36
47,45
15,15
27,53
17,53
19,7
57,56
66,29
25,13
58,63
62,29
69,66
44,63
42,57
11,3
5,21
1,27
57,49
57,39
34,55
67,59
17,31
14,31
19,1
57,55
9,9
64,47
65,57
63,55
15,27
10,3
61,70
61,47
3,36
43,57
50,51
26,7
47,63
69,41
9,11
69,33
57,46
35,60
34,7
1,35
6,3
30,9
59,51
24,13
51,59
27,57
11,6
7,29
63,32
32,3
66,67
17,11
9,23
51,58
65,27
33,14
17,23
38,5
63,33
63,68
41,63
31,55
25,5
28,61
44,47
56,53
35,5
65,50
9,4
47,39
12,19
49,39
47,68
54,49
55,39
1,6
41,65
3,16
51,42
11,5
65,55
21,7
37,13
27,5
35,65
55,47
63,51
6,23
54,35
67,33
65,43
63,36
55,55
27,21
33,57
56,69
53,46
19,3
7,3
41,8
11,27
2,1
55,65
45,67
39,65
39,9
53,39
60,43
25,7
3,19
29,9
15,8
41,61
3,28
65,69
60,51
57,43
52,63
47,49
49,64
33,55
10,15
54,63
23,18
46,67
17,15
49,55
16,27
14,27
55,56
69,23
32,7
59,66
13,7
62,33
3,31
53,25
47,64
5,17
57,33
50,65
57,61
26,13
41,64
52,61
50,59
53,65
9,17
33,6
11,28
52,57
69,61
39,3
33,9
62,43
10,25
36,13
64,33
37,51
13,8
31,3
24,1
69,31
65,56
55,37
63,28
61,57
7,23
1,3
65,31
68,69
39,2
36,5
9,21
31,61
63,31
37,17
23,3
23,15
44,65
39,7
45,55
65,47
67,50
67,56
63,44
17,13
30,1
60,33
1,11
3,3
53,55
67,24
2,3
24,7
1,9
40,47
3,25
27,56
4,17
23,11
57,36
19,15
9,13
24,5
7,25
31,66
49,59
65,51
27,19
66,39
32,53
53,45
39,63
38,65
14,17
14,19
57,51
51,52
52,37
69,39
65,63
63,54
63,25
32,11
11,1
35,3
42,53
47,69
11,26
51,34
1,5
59,48
61,63
50,37
70,59
5,30
48,35
67,40
65,41
25,15
63,61
12,17
39,59
55,59
7,13
25,8
69,51
19,19
9,7
10,31
69,29
23,9
51,51
63,58
6,17
23,1
47,54
33,1
60,45
9,27
28,55
5,3
11,0
45,52
34,3
2,31
69,54
22,13
12,3
8,7
55,34
62,35
6,15
39,57
43,63
4,23
21,1
16,13
7,15
23,65
28,53
61,56
65,61
61,62
7,26
5,11
49,53
57,65
59,49
50,49
47,34
53,48
7,17
63,64
41,51
31,59
61,61
69,27
14,29
47,65
13,15
7,32
59,33
61,31
3,11
30,53
47,55
41,45
23,58
13,12
62,65
53,67
51,47
42,5
55,63
58,37
49,42
3,7
51,45
45,48
15,19
3,1
67,58
16,21
59,57
67,64
51,43
64,29
40,67
41,67
7,7
33,10
61,27
20,11
45,58
51,68
57,27
54,55
30,15
41,62
59,47
3,27
42,67
57,54
57,45
45,66
53,33
45,49
13,5
